Sample in Buffer,Sample in Window,TRIGGER,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tdata[511:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
54,54,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
55,55,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
56,56,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
57,57,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
58,58,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
59,59,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
60,60,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
61,61,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
62,62,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
63,63,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
64,64,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
65,65,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
66,66,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
67,67,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
68,68,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
69,69,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
70,70,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
71,71,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
72,72,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
73,73,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
